ALIGN,HAIR,SEX,COMPANY
Good,Red Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,White Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Blond Hair,Female,DC
Good,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Red Hair,Female,DC
Good,Blond Hair,Female,DC
Good,Blond Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Good,Blond Hair,Female,DC
Good,Red Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Female,DC
Good,Black Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Brown Hair,Male,DC
Good,White Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Brown Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Female,DC
Good,Red Hair,Male,DC
Bad,Red Hair,Male,DC
Neutral,Black Hair,Male,DC
Neutral,Black Hair,Female,DC
Bad,Black Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Blond Hair,Female,DC
Good,White Hair,Female,DC
Good,Black Hair,Female,DC
Good,Black Hair,Male,DC
Good,Black Hair,Female,DC
Good,Black Hair,Female,DC
Good,Black Hair,Male,DC
Good,Red Hair,Male,DC
Neutral,Black Hair,Male,DC
Good,Black Hair,Male,DC
Neutral,Blond Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Red Hair,Female,DC
Good,Black Hair,Male,DC
Good,Black Hair,Female,DC
Neutral,Red Hair,Female,DC
Bad,Blond Hair,Male,DC
Good,Brown Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Red Hair,Female,DC
Good,Black Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Red Hair,Female,DC
Good,Red Hair,Male,DC
Bad,Brown Hair,Female,DC
Bad,Brown Hair,Male,DC
Neutral,Brown Hair,Male,DC
Bad,Brown Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Black Hair,Male,DC
Good,Red Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Brown Hair,Male,DC
Good,Black Hair,Female,DC
Neutral,Brown Hair,Female,DC
Good,Brown Hair,Female,DC
Good,Brown Hair,Male,DC
Good,White Hair,Female,DC
Good,Blond Hair,Female,DC
Bad,Blond Hair,Male,DC
Good,Brown Hair,Male,DC
Good,White Hair,Female,DC
Good,Red Hair,Female,DC
Good,White Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Female,DC
Neutral,Brown Hair,Female,DC
Good,Brown Hair,Male,DC
Neutral,Black Hair,Male,DC
Good,Red Hair,Female,DC
Good,Blond Hair,Female,DC
Good,Black Hair,Male,DC
Bad,Brown Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Black Hair,Female,DC
Good,Brown Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Red Hair,Female,DC
Good,Black Hair,Female,DC
Good,Black Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Black Hair,Female,DC
Neutral,Red Hair,Male,DC
Neutral,Black Hair,Female,DC
Good,Blond Hair,Female,DC
Bad,Brown Hair,Male,DC
Good,Red Hair,Male,DC
Good,Blond Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Brown Hair,Male,DC
Neutral,White Hair,Male,DC
Bad,Brown Hair,Male,DC
Bad,White Hair,Female,DC
Bad,Blue Hair,Male,DC
Good,Black Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Red Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Female,DC
Good,Black Hair,Male,DC
Good,Black Hair,Female,DC
Good,Red Hair,Female,DC
Good,White Hair,Male,DC
Good,Red Hair,Male,DC
Good,Black Hair,Female,DC
Bad,Black Hair,Male,DC
Good,White Hair,Female,DC
Good,Black Hair,Male,DC
Bad,White Hair,Male,DC
Good,Black Hair,Male,DC
Good,Black Hair,Female,DC
Good,Black Hair,Male,DC
Good,Blond Hair,Female,DC
Good,Blond Hair,Male,DC
Good,Brown Hair,Female,DC
Bad,Brown Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Blond Hair,Female,DC
Good,Blond Hair,Female,DC
Good,Blond Hair,Male,DC
Good,Blond Hair,Male,DC
Neutral,Black Hair,Male,DC
Good,Black Hair,Female,DC
Good,Black Hair,Male,DC
Good,Blond Hair,Female,DC
Good,Black Hair,Male,DC
Bad,Blond Hair,Female,DC
Neutral,Black Hair,Female,DC
Good,Black Hair,Male,DC
Neutral,Brown Hair,Female,DC
Bad,White Hair,Male,DC
Bad,Red Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Female,DC
Good,Brown Hair,Male,DC
Bad,Blond Hair,Male,DC
Good,Blond Hair,Female,DC
Good,White Hair,Male,DC
Good,Blond Hair,Female,DC
Good,Blond Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Blond Hair,Male,DC
Good,Blond Hair,Female,DC
Good,Blond Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Blond Hair,Male,DC
Bad,Brown Hair,Male,DC
Bad,Brown Hair,Male,DC
Bad,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Black Hair,Female,DC
Bad,Brown Hair,Male,DC
Neutral,Black Hair,Male,DC
Good,White Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Brown Hair,Female,DC
Good,Black Hair,Male,DC
Good,Black Hair,Female,DC
Neutral,Red Hair,Female,DC
Bad,Brown Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Neutral,Black Hair,Female,DC
Good,Brown Hair,Female,DC
Good,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Blond Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Female,DC
Good,Black Hair,Female,DC
Good,White Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Blond Hair,Female,DC
Bad,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Bad,Brown Hair,Male,DC
Good,White Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Good,Black Hair,Female,DC
Good,Black Hair,Female,DC
Good,Black Hair,Male,DC
Good,Blond Hair,Male,DC
Bad,Brown Hair,Male,DC
Neutral,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Good,Blond Hair,Male,DC
Bad,Blond Hair,Male,DC
Good,Black Hair,Male,DC
Good,Black Hair,Female,DC
Good,Red Hair,Female,DC
Good,Red Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Black Hair,Female,DC
Good,Red Hair,Female,DC
Bad,White Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Good,Brown Hair,Female,DC
Good,Brown Hair,Female,DC
Good,Black Hair,Female,DC
Good,Black Hair,Female,DC
Bad,Black Hair,Female,DC
Bad,Blond Hair,Female,DC
Good,Black Hair,Female,DC
Bad,Black Hair,Male,DC
Good,Black Hair,Female,DC
Neutral,Red Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Black Hair,Male,DC
Bad,White Hair,Male,DC
Bad,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Bad,Black Hair,Female,DC
Bad,Black Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Blond Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Brown Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Black Hair,Female,DC
Good,Red Hair,Female,DC
Bad,Blond Hair,Male,DC
Bad,Black Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Good,Red Hair,Female,DC
Good,Black Hair,Female,DC
Good,Black Hair,Female,DC
Good,Brown Hair,Female,DC
Bad,Red Hair,Male,DC
Good,Red Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Blond Hair,Female,DC
Bad,Black Hair,Male,DC
Bad,Black Hair,Female,DC
Bad,White Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Blond Hair,Female,DC
Bad,Black Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Brown Hair,Female,DC
Good,Blond Hair,Female,DC
Neutral,White Hair,Male,DC
Good,Brown Hair,Female,DC
Good,Black Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Blond Hair,Male,DC
Good,White Hair,Female,DC
Good,Black Hair,Male,DC
Bad,Red Hair,Male,DC
Good,Black Hair,Male,DC
Neutral,Brown Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Blond Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Blond Hair,Female,DC
Good,Blond Hair,Female,DC
Good,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Red Hair,Male,DC
Good,Black Hair,Female,DC
Bad,Black Hair,Female,DC
Neutral,Brown Hair,Female,DC
Good,Blond Hair,Male,DC
Good,Black Hair,Female,DC
Good,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Blond Hair,Male,DC
Bad,Black Hair,Female,DC
Bad,Brown Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Red Hair,Female,DC
Good,Black Hair,Female,DC
Good,Brown Hair,Male,DC
Neutral,Black Hair,Male,DC
Good,White Hair,Female,DC
Good,Red Hair,Female,DC
Good,Brown Hair,Female,DC
Neutral,Black Hair,Male,DC
Neutral,Blond Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Brown Hair,Female,DC
Bad,Blond Hair,Male,DC
Neutral,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Good,Red Hair,Male,DC
Bad,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Neutral,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Blond Hair,Female,DC
Good,Red Hair,Male,DC
Neutral,White Hair,Male,DC
Good,Black Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Blond Hair,Male,DC
Bad,Brown Hair,Male,DC
Bad,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Bad,White Hair,Male,DC
Bad,White Hair,Male,DC
Bad,Red Hair,Female,DC
Bad,Blue Hair,Female,DC
Good,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Red Hair,Female,DC
Bad,White Hair,Male,DC
Bad,Brown Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Brown Hair,Female,DC
Good,Black Hair,Male,DC
Good,Black Hair,Female,DC
Good,Red Hair,Female,DC
Bad,Brown Hair,Female,DC
Good,Brown Hair,Male,DC
Good,Black Hair,Female,DC
Good,Brown Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Brown Hair,Female,DC
Good,Brown Hair,Female,DC
Good,Black Hair,Male,DC
Bad,Blond Hair,Male,DC
Bad,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Blond Hair,Female,DC
Good,White Hair,Male,DC
Good,Black Hair,Male,DC
Good,Blond Hair,Male,DC
Bad,White Hair,Male,DC
Bad,Brown Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Black Hair,Female,DC
Good,Red Hair,Female,DC
Neutral,Black Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Brown Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Brown Hair,Male,DC
Bad,Blond Hair,Male,DC
Good,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Black Hair,Female,DC
Good,Black Hair,Male,DC
Good,Black Hair,Male,DC
Bad,White Hair,Male,DC
Bad,Red Hair,Male,DC
Good,Brown Hair,Male,DC
Good,White Hair,Male,DC
Good,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Blond Hair,Male,DC
Good,Black Hair,Male,DC
Neutral,Black Hair,Female,DC
Bad,Blond Hair,Male,DC
Good,Black Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,White Hair,Male,DC
Bad,Red Hair,Male,DC
Good,Black Hair,Male,DC
Neutral,Black Hair,Male,DC
Good,Brown Hair,Female,DC
Good,Brown Hair,Male,DC
Bad,Black Hair,Male,DC
Good,Black Hair,Male,DC
Good,Brown Hair,Female,DC
Good,Black Hair,Female,DC
Good,Blond Hair,Male,DC
Neutral,Blond Hair,Female,DC
Good,Red Hair,Male,DC
Neutral,Blond Hair,Male,DC
Good,Red Hair,Female,DC
Bad,Red Hair,Female,DC
Bad,Red Hair,Female,DC
Bad,Red Hair,Female,DC
Bad,White Hair,Male,DC
Bad,Black Hair,Male,DC
Neutral,White Hair,Male,DC
